type	location	adress	city	Phone-number	fax 	website	email	additional-information
British High Commission	Islamabad, Pakistan	Diplomatic Enclave, Ramna 5, P O Box 1122, Islamabad, Pakistan	City Islamabad	+92 51 201 2000		http://www.gov.uk/government/world/pakistan	Islamabad-general.enquiries@fco.gov.uk	Office Hours GMT: Mon-Thurs: 0300-1115Fri: 0300-0800.Local Time: Mon-Thurs: 0800-1615Fri: 0800-1300
British High Commission	Port Moresby, Papua New Guinea	Sec 411 Lot 1 & 2 , Kiroki Street, Wagani , National Capital District , Port Moresby, Locked Mail Bag 212	City Port Moresby	(+675) 325 1677	(+675) 325 3547	http://www.gov.uk/government/world/papua-new-guinea	uk.inpng@fco.gov.uk	Office Hours Monday to Thursday - 8.00am to 4.00pmFriday - 8.00am to 12.00pmPassports collection Monday - Friday 9.00am to 12.00pmDetails Papua New Guinea and the UK enjoy good relations as historic partners and allies. Both are outwardlooking Commonwealth nations committed to democracy, trade and investment, and support for the United
British Embassy	Kathmandu, Nepal	P.O. Box 106, Lainchaur, Kathmandu, Nepal	City Kathmandu	(977) (1) 4410583/4414588	(977) (1) 4411789/4416723	http://www.gov.uk/government/world/nepal	BEKathmandu@fco.gov.uk	Office Hours Monday to Thursday 0815 – 1230/1330 – 1700hrsFriday 0815 – 1315hrs
British Embassy	Panama City, Panama	MMG Tower, 4th Floor , Calle 53, Marbella , PO Box 0816-07946, Panama City	City Panama City	(507) 297 6550	(507) 297 6588	http://www.gov.uk/government/world/panama	britemb@cwpanama.net	Office Hours Monday to Thursday 7:30am to 4:30pmFriday 7:30am to 12:30pm
British Embassy	Tunis, Tunisia	Rue du Lac Windermere, Les Berges du Lac, Tunis 1053	City Tunis	+216 71 108 700	+216 71 108 749	http://www.gov.uk/government/world/tunisia	BritishEmbassyTunis@fco.gov.uk	Office Hours Monday to Thursday, 8.00am to 4.30pm (local time)Friday 8.00am to 1.00pm (local time)
British Embassy	Montevideo, Uruguay	Marco Bruto 1073, 11300 Montevideo, Uruguay	City Montevideo	(598) 2622 3630 or 2622 3650	(598) 2622 7815	http://www.gov.uk/government/world/uruguay	ukinuruguay@adinet.com.uy	Office Hours Monday to Thursday 9:00am to 1:00pm / 2:00pm to 5:30pmFriday 9:00am to 2:00pm
Consulate of United Kingdom	Chiang Mai, Thailand	198 Bumrungraj Rd, Muang, Chiang Mai 50000, Thailand	City Chiang Mai	+66 (0) 2 305 8333	(+66) (53) 263 016		ConsularEnquiriesChiangmai@fco.gov.uk	Office Hours Monday to Thursday, 8am to 4.30pmFriday, 8am to 1pm
Embassy of the United Kingdom	Seoul, South Korea	Sejong-daero 19-gil 24 , Jung-gu, Seoul , 100-120 South Korea	City Seoul	(+82) (2) 3210 5500	(+82) (2) 725 1738	http://www.gov.uk/government/world/south-korea	Enquiry.Seoul@fco.gov.uk	Office Hours Monday-Thursday: 09:00-12:30 / 13:30-17:15Friday: 09:00-12:30 / 13:30-17:00
British Deputy High Commission	Lagos, Nigeria	11 Walter Carrington Crescent, Victoria Island, Lagos, Nigeria	City Lagos	+ 234 (1) 277 0780/0781/0782			consular.lagos@fco.gov.uk/visa.lagos@fco.gov.uk	Office Hours Monday to Thursday: 8.30 am to middayFriday: 8.30 am to 11 am (GMT +1)
British Embassy	Hanoi, Vietnam	Central Building, 4th floor , 31 Hai Ba Trung , Hanoi, Vietnam	City Hanoi	+84 (0)4 3936 0500	+84 (0)4 3936 0561	http://www.gov.uk/government/world/vietnam	generalenquiries.vietnam@fco.gov.uk	Office Hours Monday to Thursday: 8.30am to 12.30pm and 1.30pm to 4.45pm Friday: 8.30am to 12.30pm and 1.00pm to 3.00pm
British High Commission	Abuja, Nigeria	19 Torrens Close, Mississippi, Maitama , Abuja, Nigeria	City Abuja	+234 (9) 4622200	+234(9) 4622263	http://www.gov.uk/government/world/nigeria	PPAInformation.abuja@fco.gov.uk/Abuja.visacustomercare@fco.gov.uk	Office Hours Monday - Thursday: 8am-4pm. Friday: 8am-1pm
British Embassy	Amman, Jordan	(PO Box 87) Abdoun , Amman, 11118, Jordan	City Amman	+962 (6) 590 9200	+962 (6) 590 9279	http://www.gov.uk/government/world/jordan	Amman.enquiries@fco.gov.uk	Office Hours Sunday to Wednesday, 6am to 1pm GMT (8am to 3:30pm local time) Thursday, 6am to 1pm GMT (8am to 3pm local time)
British Embassy	Copenhagen, Denmark	Kastelsvej 36-40, DK-2100 Copenhagen, Denmark	City Copenhagen	+45 35 44 52 00		http://www.gov.uk/government/world/denmark	Enquiry.Copenhagen@fco.gov.uk	Office Hours British Embassy: Monday to Friday from 09:00 to 17:00 Government & Public Affairs: Monday to Friday from 09:00 - 17:00Details Consular / passport enquiries: consular.copenhagen@fco.gov.uk
British High Commission	Pretoria, South Africa	255 Hill Street, Arcadia 0002, Pretoria, South Africa	City Pretoria	+27 12 421 7500	+27 12 421 7599	http://www.gov.uk/government/world/south-africa	pta.assistanceforbritishnationals@fco.gov.uk	Office Hours GMT: Mon-Thurs: 0600-1500 Fri: 0600-1030Local Time: Mon-Thurs: 0800-1700 Fri: 0800-1230Details We develop and maintain relations between the United Kingdom and South Africa. The HighCommission also covers Lesotho and Swaziland.We deal with a wide range of political, commercial, security and economic questions of interest to the UKand South Africa. The High Commission, and our consulate in Cape Town, provide consular assistance toBritish nationals in South Africa.
British Embassy	Abu Dhabi, United Arab Emirates	Khalid bin Al Waleed St (Street 22), PO Box 248 , Abu Dhabi, United Arab Emirates	City Abu Dhabi	+971 2 610 1100	+971 2 610 1585	http://www.gov.uk/government/world/united-arab-emirates	consular.UAE@fco.gov.uk	Office Hours GMT: Sunday - Thursday: 0330-1030Local Time: Sunday - Thursday: 0730-1430
British Embassy	Beirut, Lebanon	Serail Hill, Embassy Complex , PO Box : 11- 471 Beirut Central District, Lebanon	City Beirut	+961 (0)1 960800	+961 (0)1 960855	http://www.gov.uk/government/world/lebanon		Office Hours Monday to Thursday, 6am to 2pm; Friday 6am to 12pm (GMT)Monday to Thursday, 8am to 4pm, Friday 8am to 2pm (Local Time)Details Visa enquiries: visa.beirut@fco.gov.ukConsular section: consular.beirut@fco.gov.uk
British Embassy	Lima, Peru	Torre Parque Mar (22nd Floor) , Avenida José Larco, 1301 , Miraflores, Lima, Peru	City Lima	+51 1 617 3000	+51 1 617 3100	http://ukinperu.fco.gov.uk/en/about-us/our-embassy/contact-us/	belima@fco.gov.uk	Office Hours Visa section opening times: From Monday to Friday from 8:00 to 12:00Passport collection times: From Monday to Friday from 12:00 to 12:30Details The British Embassy in Lima represents the British government and manages various strands of therelationship between the UK and Peru.For any emergency involving a British citizen during holidays or out-of-office-hours, please contact (51-1)6173000 and your call will be properly re-directed.
British Embassy	Dubai, United Arab Emirates	Al Seef Road , Bur Dubai (near to Dubai Creekside), PO Box 65 United Arab Emirates	City Dubai	+971 4 309 4444	+971 4 309 4301	http://www.gov.uk/government/world/united-arab-emirates	consular.UAE@fco.gov.uk	Office Hours Sunday to Thursday, 7:30am to 2:30pm (Local)Sunday to Thursday, 4:30am to 11:30am (GMT)
British Embassy	Moscow, Russian	121099 Moscow, Smolenskaya Naberezhnaya 10, Russia	City Moscow	+7 495 956 7200	+7 495 956 7481	http://www.gov.uk/government/world/russia	ukinrussia@fco.gov.uk	Office Hours The British Embassy is open Monday to Friday 9am to 1pm and 2pm to 5pm.The Consular section is open 9am to 12pm (except public holidays).Details All consular services by appointment only. Please book your appointment online.
British Embassy	Buenos Aires, Argentina	Dr Luis Agote 2412 (1425), Buenos Aires, Argentina	City Buenos Aires	+54 11 4808-2200	+54 11 4808-2274	http://www.gov.uk/government/world/argentina	askinformation.baires@fco.gov.uk	Office Hours Open to the public: Monday to Friday 9am to 1pm. Office hours: Monday to Thursday: 8:45amto 5:30pm; Friday: 8:45am to 2:00pm. See Access and opening times to make an appointment for notarialservices.
British Consulate-General	Houston, United States	1301 Fannin St,, Suite 2400, Houston TX 77002 USA		+1 713 210 4000		http://https://www.gov.uk/world/usa		Office Hours By appointment only
British Consulate	Miami, United States	1001 Brickell Bay Drive, Miami FL 33131, United States		+1 305 400 6400		http://https://www.gov.uk/world/usa		Office Hours By appointment only
British Consulate-General	Boston, United States	One Broadway Cambridge, Massachusetts 02142		+1 617 245 4500		http://https://www.gov.uk/world/usa		Office Hours By appointment only
British Consulate-General	Chicago, United States	625 N Michigan Avenue, Suite 2200, Chicago IL 60611, USA		+1 312 970 3800		http://https://www.gov.uk/world/usa		Office Hours By appointment only
British Consulate-General	New York, United States	845 Third Avenue, New York, NY 10022, United States	City New York	+1 212 745 0200		http://https://www.gov.uk/world/usa/		Office Hours By appointment only
British Embassy	Washington D.C. United States	3100 Massachusetts Avenue, Washington DC, 20008 United States		+1 202 588 6500		http://https://www.gov.uk/world/usa	britishembassyenquiries@gmail.com	Office Hours By appointment only
British Embassy	Bratislava, Slovakia	Panska 16, 811 01 Bratislava, Slovakia	City Bratislava	+421 2 5998 20 00	+421 2 5998 22 37	http://www.gov.uk/government/world/slovakia	bebra@internet.sk/bratislava.consularenquiries@fco.gov.uk	Office Hours By appointment only.
British Embassy Liaison Office	Bujumbura	Building Old East Bujumbura, 1st Floor, Place de L’Independence, Bujumbura, Burundi	City Bujumbura	+257 22 24 64 78 / + 257 22 25 03 66		http://www.gov.uk/government/world/burundi	BHC.Kigali@fco.gov.uk	Office Hours Monday - Thursday : 800-1230 / 1400- 1730 Friday : 800-1200
British Embassy	Baku, Azerbaijan	45 Khagani Street, AZ1010 Baku, Azerbaijan	City Baku	+ 994 (12) 4377878	+ 994 (12) 4977434	http://www.gov.uk/government/world/azerbaijan	generalenquiries.baku@fco.gov.uk	Office Hours Monday to Friday 5am - 1pm GMT 9am - 5pm Local Time
British High Commission	Ottawa, Canada	80 Elgin Street, Ottawa Ontario K1P 5K7, Canada	City Ottawa	+1 613 237 1530	+1 613 232 0738	http://www.gov.uk/government/world/canada	ukincanada@fco.gov.uk	Office Hours Monday to Friday 8:30am to 5:00pm
British Consulate-General	Auckland, New Zealand	Level 17 Auckland, 151 Queen Street 1142, New Zealand	City Auckland	+64 (0) 9 303 2973				Office Hours Monday to Friday 9.00am to 1.00pm
British Consulate-General	Brisbane, Australia	Level 9, 100 Eagle Street , Brisbane QLD 4000, Australia	City Brisbane	+61 (0)7 3223 3200				Office Hours Monday to Friday 9.00am to 5.00pm
British Consulate-General	Melbourne, Australia	17th Floor, 90 Collins Street, Melbourne 3000, Victoria, Australia	City Melbourne	+61 (0)3 9652 1600				Office Hours Monday to Friday 9.00am to 5.00pm
British Embassy	Beijing, China	11 Guang Hua Lu, Jian Guo Men Wai, Beijing, 100600 China	City Beijing	+86 (0) 10 5192 4000	+86 (0) 10 5192 4239	http://www.gov.uk/government/world/china		Office Hours Monday to Friday, 8:30am to midday / 1:30pm to 5pm (Local time)
British High Commission	Canberra, Australia	Commonwealth Avenue, Yarralumla, Canberra , Australia	City Canberra	+61 (0)2 6270 6666	+61 (0)2 6273 3236	http://www.gov.uk/government/world/australia	australia.enquiries@fco.gov.uk	Office Hours Monday to Friday, 8.45am to 12.30pm/1.30pm to 5.00pm
British Embassy	Berlin, Belgium	Wilhelmstraße 70/71, 10117 Berlin, Germany	City Berlin	+49 (0) 30 204 570		http://www.gov.uk/government/world/germany	ukingermany@fco.gov.uk	Office Hours Monday to Friday, 9am to 5.30pm
British Embassy	Yerevan, Armenia	34 Baghramyan Avenue, Yerevan 0019, Armenia	City Yerevan	+374 10 264301	+374 10 264318	http://www.gov.uk/government/world/armenia	enquiries.yerevan@fco.gov.uk	Office Hours Monday to Friday, 9am to 5pm
British Consulate-General	Sydney, Australia	Level 16, Gateway Building, 1 Macquarie Place, Sydney, NSW 2000 Australia	City Sydney	+61 (0)2 9247 7521		http://www.gov.uk/government/world/australia		Office Hours Monday to Friday: 9.00am to 12.30pm/1.30pm to 5.00pm
British Embassy	Asmara, Eritrea	66-68 Mariam Ghimbi Street , Zip Code 174 , PO Box 5584 , Asmara, Eritrea	City Asmara	+ 291 1 20 28 39	+ 291 1 12 01 04	http://www.gov.uk/government/world/eritrea	Asmara.Enquiries@fco.gov.uk	Office Hours Monday to Thursday (Local Time) 8am - 4:30pm Friday 8am - 12:30pm
British Embassy	El Salvador	Torre Futura, 14th floor, Colonia Escalón, San Salvador	City San Salvador	+503 2511-5757		http://www.gov.uk/government/world/el-salvador	britishembassy.elsalvador@fco.gov.uk	Office Hours Monday to Thursday 7:30am to 4:30pm Friday 7:30am to 11:30pm
British Embassy	Havana, Cuba	Calle 34 no. 702 esq 7ma , La Habana, Cuba	City Havana	+537 214 2200	+537 214 2218	http://www.gov.uk/government/world/cuba	embrit@enet.cu	Office Hours Monday to Thursday 8:00am to 4:15pm Friday 8:00am to 1:00pm
British Embassy	Caracas, Venezuela	Torre La Castellana, Piso 11 , Avenida Principal de la Castellana (Av. Eugenio Mendoza), Urbanización La Castellana, Caracas, Venezuela	City Caracas	+58 (0) 212 319-5800	+58 (0) 212 267-1275	http://www.gov.uk/government/world/venezuela	ukinvenezuela@fco.gov.uk	Office Hours Monday to Thursday 8:00am to 4:30pm Friday 8:00am to 1:15pm
British Embassy	Mexico City, Mexico	Río Lerma No. 71, Col. Cuauhtémoc, CP. 06500, Mexico City	City Mexico City	+52 (55) 1670 3200	+52 (55) 1670 3217	http://www.gov.uk/government/world/mexico	ukinmexico@fco.gov.uk	Office Hours Monday to Thursday 8:00am to 4:30pm Friday 8:00am to 2:00pm
British High Commission	Kingston, Jamaica	P O Box 575 , 28 Trafalgar Road , Kingston 10 Jamaica	City Kingston	(001) (876) 936 0700	(001) (876) 936 0737	http://www.gov.uk/government/world/jamaica	PPA.Kingston@fco.gov.uk	Office Hours Monday to Thursday 8:00am to 4:30pm Friday: 8:00am to 1:00pm
British Embassy	Tirana, Albania	Rruga Skenderbeg 12, Tirana, Albania	City Tirana	+355 4 223 4973/4/5	+355 4 224 7697	http://ukinalbania.fco.gov.uk		Office Hours Monday to Thursday, 8:30am to 1pm and 2pm to 5pm Friday, 8:30am to 2:30pm
British Embassy	Sarajevo, Bosnia and Herzegovina	39a, Hamdije Cemerlica street, 71000 Sarajevo, Bosnia and Herzegovina	City Sarajevo	+387 (0) 33 282 200	+387 (0) 33 282 203	http://www.gov.uk/government/world/bosnia-and-herzegovina	britemb@bih.net.ba	Office Hours Monday to Thursday, 8:30am to 5pm Friday, 8:30am to 2:30pm
British Embassy	Luanda, Angola	Rua 17 de Setembro, Nº 4, Caixa, Luanda, 1244 Angola	City Luanda	+244 222 334 582/222 397 681	+244 222 333 331	http://www.gov.uk/government/world/angola	postmaster.luand@fco.gov.uk	Office Hours Monday to Thursday: 8 am to 12:30 pm and 1:30 pm to 4:30; Friday: 8 am to 1 pm
British High Commission Gaborone	Botswana	Plot 1079-1084 Main Mall, off Queens Road, Gaborone, Botswana	City Gaborone	+267 3952841	+267 3956105	http://www.gov.uk/government/world/botswana	bhc@botsnet.bw	Office Hours Monday to Thursday: 8 am to 4.30 pm and Friday: 8 am to 1 pm
British Embassy	Santiago, Chile	Avda. El Bosque Norte 0125, Las Condes, Santiago, Chile	City Santiago	56 2 2370 4100	56 2 2370 4160	http://www.gov.uk/government/world/chile	embsan@britemb.cl	Office Hours Monday to Thursday: 9am to 1pm and 2pm to 5:30pm Friday: 9am to 1pm
